id,image,class,original_class,score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,gps_lat,gps_lon,camera_lat,camera_lon,camera_heading,deep_analyzed,local_analyzed,local_confidence
1,ladybug_panoramic_1004.jpg,light pole,,0.9492,1194,2820,1473,4003,279,1182,45.053696,9.707381,45.053875,9.707364,326.3,false,false,
2,ladybug_panoramic_1004.jpg,light pole,,0.9414,12688,2642,13091,3810,402,1167,45.053918,9.707612,45.053875,9.707364,326.3,false,false,
3,ladybug_panoramic_1004.jpg,light pole,,0.9336,6630,2830,6885,4014,255,1183,45.053961,9.707140,45.053875,9.707364,326.3,false,false,
4,ladybug_panoramic_1004.jpg,light pole,,0.9141,4964,3399,5032,3889,68,489,45.053840,9.707115,45.053875,9.707364,326.3,false,false,
5,ladybug_panoramic_1004.jpg,light pole,,0.9023,15516,3501,15633,4002,116,501,45.053744,9.707539,45.053875,9.707364,326.3,false,false,
6,ladybug_panoramic_1004.jpg,light pole,,0.8789,1115,3658,1158,3998,42,339,45.053697,9.707400,45.053875,9.707364,326.3,false,false,
7,ladybug_panoramic_1004.jpg,light pole,,0.8789,3550,3720,3609,4006,58,286,45.053752,9.707178,45.053875,9.707364,326.3,false,false,
8,ladybug_panoramic_1004.jpg,light pole,,0.8672,7669,3688,7733,3964,63,276,45.054012,9.707199,45.053875,9.707364,326.3,false,false,
9,ladybug_panoramic_1004.jpg,light pole,,0.8633,270,3740,336,3933,66,193,45.053715,9.707479,45.053875,9.707364,326.3,false,false,
10,ladybug_panoramic_1004.jpg,light pole,,0.8438,204,3820,255,3943,50,122,45.053717,9.707486,45.053875,9.707364,326.3,false,false,
11,ladybug_panoramic_1004.jpg,light pole,,0.8320,5720,3787,5755,4014,34,227,45.053892,9.707111,45.053875,9.707364,326.3,false,false,
12,ladybug_panoramic_1004.jpg,light pole,,0.8203,7805,3764,7848,4008,42,243,45.054018,9.707209,45.053875,9.707364,326.3,false,false,
13,ladybug_panoramic_1004.jpg,light pole,,0.8086,421,3561,532,3998,111,436,45.053710,9.707464,45.053875,9.707364,326.3,false,false,
14,ladybug_panoramic_1004.jpg,manhole,,0.9180,1534,4809,2026,4957,492,147,45.053817,9.707355,45.053875,9.707364,326.3,false,false,
15,ladybug_panoramic_1004.jpg,manhole,,0.8594,5331,5030,5516,5168,185,138,45.053874,9.707299,45.053875,9.707364,326.3,false,false,
16,ladybug_panoramic_1004.jpg,manhole,,0.8516,8971,4686,9146,4750,175,64,45.053950,9.707346,45.053875,9.707364,326.3,false,false,
17,ladybug_panoramic_1004.jpg,manhole,,0.8242,4799,5015,5338,5254,538,239,45.053868,9.707305,45.053875,9.707364,326.3,false,false,
18,ladybug_panoramic_1004.jpg,manhole,,0.8203,1822,4477,1957,4506,134,29,45.053760,9.707339,45.053875,9.707364,326.3,false,false,
19,ladybug_panoramic_1004.jpg,manhole,,0.8125,6270,4573,6590,4657,320,84,45.053907,9.707248,45.053875,9.707364,326.3,false,false,
20,ladybug_panoramic_1004.jpg,manhole,,0.8047,5751,4742,6273,4893,521,151,45.053888,9.707277,45.053875,9.707364,326.3,false,false,
21,ladybug_panoramic_1004.jpg,manhole,,0.8008,15311,4545,15476,4589,164,43,45.053808,9.707467,45.053875,9.707364,326.3,false,false,
22,ladybug_panoramic_1004.jpg,manhole,,0.6367,8276,4262,8365,4278,89,16,45.054073,9.707225,45.053875,9.707364,326.3,false,false,
23,ladybug_panoramic_1004.jpg,manhole,,0.3301,9187,4355,9270,4374,82,19,45.054035,9.707340,45.053875,9.707364,326.3,false,false,
24,ladybug_panoramic_1004.jpg,passo_carraio.3,passo_carraio,0.1484,7972,566,10548,2002,2575,1435,45.054054,9.707340,45.053875,9.707364,326.3,false,true,0.0190
25,ladybug_panoramic_1004.jpg,passo_carraio.nd,passo_carraio,0.4941,2669,4153,2725,4226,56,73,45.053629,9.707187,45.053875,9.707364,326.3,false,true,
26,ladybug_panoramic_1004.jpg,passo_carraio.nd,passo_carraio,0.3125,4921,4119,4982,4183,61,63,45.053801,9.706880,45.053875,9.707364,326.3,false,true,
